5 trees 	10 trees	15 trees	18 trees	20  trees	25 trees	28 trees	29 trees	30 trees	31 trees	32 trees	35 trees	50 trees	100 trees
0.303857451	0.311738157	0.312842168	0.314531254	0.315090891	0.315981223	0.316403494	0.315864208	0.316576473	0.318479239	0.318733619	0.318077318	0.316998745	0.304223758
0.290518967	0.306980384	0.306722287	0.305947996	0.30552988	0.307692731	0.309566514	0.309509733	0.310856998	0.312854668	0.312524304	0.311099609	0.2981225	0.289290426
0.307803703	0.319542152	0.331290733	0.328706957	0.329183182	0.331513647	0.333205767	0.332952455	0.333930237	0.333540138	0.331457918	0.329249043	0.32882348	0.310093638
0.311450777	0.321437525	0.33135742	0.337394723	0.337878119	0.342676077	0.341287601	0.341848134	0.342542372	0.341174465	0.342650365	0.342382954	0.340485369	0.319884488
0.298784384	0.317070111	0.319951684	0.32201068	0.319946575	0.321571291	0.321336269	0.321234086	0.321847187	0.320978627	0.320416618	0.319190417	0.313212686	0.301109057
0.328226422	0.336959764	0.346490278	0.348577141	0.347531171	0.347500706	0.350836639	0.351263151	0.351704896	0.351354547	0.350552298	0.348226792	0.345246285	0.315654471
0.309216048	0.322176416	0.329854955	0.325947711	0.325534833	0.323973949	0.321773607	0.321733326	0.322070678	0.320907568	0.319699143	0.320182513	0.30883338	0.298068319
0.299902412	0.310689755	0.310853045	0.312057308	0.309694707	0.310005978	0.310123343	0.309567136	0.31102654	0.310036595	0.308750687	0.30982738	0.305459373	0.297697998
0.298122137	0.313741373	0.314227715	0.311898396	0.311391577	0.314688459	0.31211341	0.312354021	0.31327039	0.312067335	0.311970067	0.309215839	0.303988949	0.289736588
0.306924464	0.323431917	0.322591	0.326775198	0.331790121	0.330867661	0.331540394	0.331846182	0.330521101	0.329389685	0.328538576	0.329058415	0.324201483	0.305140701
0.309544108	0.322933401	0.332515935	0.330804407	0.334616216	0.335065555	0.334419315	0.335191774	0.336287353	0.335696649	0.336347938	0.336772034	0.333636758	0.309907618
0.309048455	0.320033337	0.317252741	0.312404522	0.313214256	0.313840654	0.316346246	0.316310598	0.317110146	0.315663829	0.314365199	0.31430918	0.31316333	0.298888586
0.320154016	0.337078969	0.348116323	0.352477695	0.354064567	0.352983068	0.353736075	0.356682401	0.358926259	0.358067124	0.357526375	0.355398753	0.353559194	0.334476296
0.31456458	0.32670795	0.335829445	0.336479529	0.339064629	0.338790375	0.340070228	0.34256899	0.342208396	0.342467414	0.340669525	0.340425743	0.341030118	0.322629688
0.299363226	0.311368144	0.316399543	0.317979403	0.318708956	0.316897652	0.318869961	0.318638516	0.318487574	0.318558014	0.318190722	0.316525328	0.314859935	0.303780794
0.301241357	0.306889247	0.306611482	0.30463112	0.306848096	0.304595113	0.307763692	0.307521934	0.306626913	0.30604052	0.305613585	0.304358498	0.290686284	0.283078608
0.31590413	0.332550162	0.341532929	0.340720928	0.339370975	0.339797276	0.343035132	0.342867657	0.342385531	0.341121853	0.342344931	0.340802128	0.341532929	0.326018624
0.299354523	0.307743514	0.321694716	0.325820699	0.324947797	0.328946905	0.330296858	0.331682335	0.329408731	0.328733755	0.329261556	0.329261556	0.326282525	0.312382073
0.300727408	0.313707088	0.320316874	0.321199881	0.323364011	0.322812771	0.32353755	0.327222697	0.327886228	0.32590074	0.326870516	0.321863411	0.317616815	0.304514637
0.311448433	0.322314266	0.33331156	0.333387403	0.332952568	0.334434042	0.336360465	0.334980115	0.338034076	0.337250361	0.336370577	0.334494717	0.330995808	0.32153055
0.311014817	0.323222048	0.339381371	0.345490073	0.345362914	0.348338427	0.34923871	0.350372965	0.349915194	0.349955885	0.349493027	0.349330264	0.347056667	0.320409299
0.305053619	0.314966908	0.315892623	0.315653565	0.31939203	0.316767475	0.317830521	0.317667758	0.318674855	0.318512092	0.317332059	0.31710826	0.309682195	0.298476974
0.300597717	0.317970477	0.324508612	0.323539252	0.32447832	0.322019577	0.321555092	0.322388136	0.322953596	0.32253455	0.322009479	0.320297952	0.317041506	0.303409873
0.304354738	0.318881471	0.32364632	0.323499942	0.323797745	0.329935517	0.330137417	0.330339318	0.33013237	0.328037653	0.327447095	0.329844662	0.32253082	0.30145242
0.30117565	0.314727153	0.317815611	0.317897155	0.316674003	0.315139967	0.316551688	0.316414083	0.316719871	0.314885144	0.31473225	0.31513487	0.310644884	0.301374413
0.308579716	0.320783176	0.32318635	0.324499476	0.32706996	0.327313319	0.325898793	0.328190427	0.330335032	0.328514906	0.329143585	0.326649151	0.325777113	0.310029732
0.313637975	0.327059658	0.332926289	0.338157873	0.342371364	0.340879506	0.342084081	0.342976172	0.342154642	0.340078136	0.339952135	0.337769788	0.329146243	0.31901572
