5 leaves	9 leaves	10 leaves	11 leaves	12 leaves	13 leaves	14 leaves	15 leaves	25 leaves	50 leaves	100 leaves
0.326409118	0.319821424	0.319008066	0.321741151	0.32284752	0.316517473	0.322024058	0.317098443	0.31864938	0.310384452	0.300063394
0.313155788	0.312545828	0.311069621	0.311500181	0.308701539	0.309342254	0.307702023	0.308727167	0.308578521	0.294677572	0.286686577
0.329987502	0.337146161	0.339827513	0.337176345	0.339757084	0.337131069	0.341910215	0.341910215	0.335420637	0.322577309	0.314704294
0.327112477	0.340241096	0.337381498	0.337565329	0.344402832	0.341793449	0.341757704	0.342768776	0.337887034	0.338402783	0.327204393
0.325753076	0.327802699	0.328639797	0.326290848	0.328923904	0.327305513	0.324129612	0.323510667	0.316524699	0.315778921	0.307377496
0.346938098	0.356416867	0.348596882	0.354536239	0.353351393	0.353669033	0.356623585	0.354127845	0.352358139	0.343035668	0.336783714
0.327715562	0.332230364	0.328885511	0.335235231	0.333110325	0.334435266	0.330110457	0.327525571	0.3291355	0.315351107	0.307211466
0.326867609	0.319363371	0.320118355	0.320224762	0.321511782	0.317017346	0.314757461	0.31613062	0.317513913	0.305114945	0.292903456
0.321452801	0.319241494	0.323496353	0.323054092	0.315149306	0.318895819	0.315398396	0.316450673	0.318433223	0.295181462	0.298409462
0.331572473	0.336359902	0.339345719	0.33598541	0.338257667	0.341162513	0.332579554	0.332093726	0.328009735	0.322599839	0.316734479
0.331170505	0.33685562	0.334469276	0.336249008	0.335331568	0.334093276	0.331877385	0.33354181	0.334409116	0.322853392	0.320070994
0.327937131	0.327578088	0.32754269	0.325560372	0.328083782	0.326253172	0.324058462	0.322768944	0.319562848	0.309373125	0.300725767
0.346446624	0.355539737	0.353853597	0.355098129	0.35172083	0.364115969	0.355680249	0.358831726	0.357511919	0.356187095	0.351464898
0.328959523	0.34157748	0.337921197	0.341284977	0.343761163	0.342132226	0.340447814	0.347003907	0.345682602	0.328132446	0.322721148
0.329697444	0.324956148	0.324431558	0.329862315	0.324816257	0.320149903	0.321323985	0.321928513	0.323837022	0.313055445	0.311436709
0.320002933	0.312806174	0.313827715	0.315257873	0.315104642	0.314277194	0.30942998	0.31308199	0.31479818	0.298193025	0.285413543
0.34003866	0.347965639	0.349502656	0.346615079	0.34635303	0.344518688	0.348464539	0.350742349	0.346448779	0.330650255	0.333487438
0.331118919	0.337221635	0.335709814	0.335427608	0.333643659	0.336173439	0.335367135	0.33784652	0.333306019	0.326407079	0.30820476
0.324891303	0.33137362	0.330228191	0.331926062	0.323386027	0.331307733	0.328849622	0.327070659	0.325159922	0.317101373	0.310340301
0.320273702	0.333910061	0.337590272	0.338393592	0.334407116	0.339774298	0.334668195	0.334376991	0.334818817	0.332403836	0.322753953
0.33619709	0.345429694	0.349056067	0.347101462	0.349758108	0.346591345	0.347586325	0.350530859	0.344914527	0.338449684	0.327621072
0.324979577	0.326676599	0.32691903	0.329530221	0.329853463	0.326934182	0.324060357	0.325858392	0.324570474	0.311676142	0.305736568
0.328854347	0.331762078	0.331345972	0.333416477	0.332509064	0.332654451	0.328498401	0.330739359	0.326076963	0.307838471	0.305642632
0.327410059	0.331339541	0.330302037	0.33205627	0.333123846	0.325129556	0.328352332	0.331399686	0.327109333	0.317255555	0.315957423
0.32668889	0.32124863	0.321911583	0.326025938	0.323976351	0.3223215	0.315008778	0.318090749	0.314760804	0.305924809	0.297858042
0.330932205	0.339591398	0.338861407	0.33780418	0.336726816	0.336968468	0.3343254	0.340774485	0.337079225	0.329230572	0.321799777
0.33373831	0.343477453	0.339598812	0.343577547	0.335264743	0.346084901	0.344873764	0.343722683	0.334178723	0.328328231	0.315721396
0.322659213	0.328532247	0.328008408	0.330677969	0.329731031	0.329464075	0.32950437	0.329589997	0.329136676	0.31559747	0.312479625
0.333526397	0.344491452	0.343007345	0.346352962	0.339156825	0.345572658	0.348219571	0.341360037	0.34403755	0.334429101	0.328059169
0.317106025	0.319902392	0.324720593	0.322879819	0.319776656	0.323775059	0.318660121	0.31848912	0.32081272	0.318358355	0.317045672
0.331494927	0.344358954	0.343192252	0.34294477	0.343606406	0.340252769	0.343222556	0.34263668	0.346035773	0.33128785	0.322014841
0.318943019	0.324591037	0.322728662	0.327265345	0.327848923	0.324743274	0.323063585	0.319140928	0.321460015	0.309270851	0.305982517
0.318353658	0.320846411	0.320956977	0.322082736	0.324344306	0.322258636	0.31522264	0.318509455	0.315614646	0.30868419	0.297984452
0.329639181	0.336299999	0.336126859	0.337567999	0.335393558	0.333687614	0.336580079	0.332210827	0.331029398	0.322229786	0.32013173
0.320519677	0.324738821	0.327334447	0.324142529	0.324468234	0.320088743	0.320980676	0.322007902	0.313935406	0.312191627	0.301423288
0.331394639	0.329421301	0.330794058	0.334967845	0.337667937	0.329572708	0.323460911	0.326201378	0.329597942	0.313750674	0.303364153
0.343099105	0.345177912	0.34515773	0.34846263	0.346388868	0.348472721	0.345036634	0.350465753	0.342861959	0.335505403	0.329369893
0.332161922	0.33284779	0.333821118	0.336040103	0.335147466	0.334229613	0.331057472	0.329004911	0.330316129	0.310380564	0.309614006
0.342909825	0.350379048	0.355970899	0.356167193	0.350303551	0.356821505	0.356358453	0.351496412	0.349996527	0.341082785	0.331967715
0.317457171	0.324074559	0.329819771	0.324728692	0.327958789	0.328876603	0.327253948	0.326615028	0.319997639	0.313136853	0.31376056
0.333720255	0.342192744	0.34301982	0.341088294	0.345828854	0.347538481	0.349369144	0.344351211	0.336625108	0.328631718	0.324718235
0.336803112	0.337736237	0.342032602	0.337441828	0.341568535	0.336713293	0.334358026	0.334672394	0.338075555	0.319966948	0.314058822
0.335210978	0.345272674	0.344199293	0.344425004	0.342754742	0.345714065	0.347464579	0.351000719	0.34712852	0.343767934	0.329543123
0.323450851	0.323897081	0.32236063	0.329540877	0.327101824	0.325732709	0.322132444	0.321255197	0.3264984	0.310854995	0.299577545
0.324587266	0.320086983	0.321963355	0.320543534	0.324863203	0.323167444	0.320403057	0.322861405	0.320699062	0.309194995	0.305025837
0.32266714	0.334149992	0.337058445	0.331971169	0.326717839	0.33218251	0.328695386	0.327980852	0.329057684	0.321851968	0.310364084
0.335339646	0.342240911	0.347971697	0.344885889	0.345554734	0.3445464	0.33890682	0.34212437	0.343380988	0.330627329	0.319966345
0.337515817	0.350717797	0.348662936	0.351276399	0.351346225	0.357884871	0.355490858	0.34946094	0.35093226	0.346224036	0.338468434
0.326588121	0.325529443	0.323037334	0.325079739	0.331516127	0.32780607	0.320367217	0.320076783	0.324377077	0.313537338	0.299390401
